family,reference,experiment,task,run,run_index,model,llm,groups_n,file_experiment,path,rows_added
,ground_truth,reconstruction_1hop_embed_expl,task_0,run_1,1,,,,reconstruction_1hop_embed_expl,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_1/results_summary_reconstruction_1hop_embed_expl.json,1
,explainer,reconstruction_1hop_embed_expl,task_0,run_1,1,,,,reconstruction_1hop_embed_expl_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_1/results_summary_reconstruction_1hop_embed_expl_explainer.json,1
,explainer,reconstruction_1hop,task_0,run_1,1,,,,reconstruction_1hop_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_1/results_summary_reconstruction_1hop_explainer.json,1
,ground_truth,reconstruction_1hop_no_gnn,task_0,run_1,1,,,,reconstruction_1hop_no_gnn,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_1/results_summary_reconstruction_1hop_no_gnn.json,1
,explainer,reconstruction_1hop_no_gnn,task_0,run_1,1,,,,reconstruction_1hop_no_gnn_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_1/results_summary_reconstruction_1hop_no_gnn_explainer.json,1
,ground_truth,baseline_cosine,task_0,run_2,2,,,,baseline_cosine,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_2/results_summary_baseline_cosine.json,1
,explainer,baseline_cosine,task_0,run_2,2,,,,baseline_cosine_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_2/results_summary_baseline_cosine_explainer.json,1
,ground_truth,baseline_feature,task_0,run_2,2,,,,baseline_feature,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_2/results_summary_baseline_feature.json,1
,explainer,baseline_feature,task_0,run_2,2,,,,baseline_feature_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_2/results_summary_baseline_feature_explainer.json,1
,ground_truth,baseline_random,task_0,run_2,2,,,,baseline_random,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_2/results_summary_baseline_random.json,1
,explainer,baseline_random,task_0,run_2,2,,,,baseline_random_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_2/results_summary_baseline_random_explainer.json,1
,ground_truth,embedding_classification,task_0,run_2,2,,,,embedding_classification,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_2/results_summary_embedding_classification.json,4
,ground_truth,embedding_classification_explainer_subgraph,task_0,run_2,2,,,,embedding_classification_explainer_subgraph,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_2/results_summary_embedding_classification_explainer_subgraph.json,4
,ground_truth,raw_graph_reasoning,task_0,run_2,2,,,,raw_graph_reasoning,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_2/results_summary_raw_graph_reasoning.json,4
,ground_truth,reconstruction_1hop,task_0,run_2,2,,,,reconstruction_1hop,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_2/results_summary_reconstruction_1hop.json,1
,ground_truth,reconstruction_1hop_embed_expl,task_0,run_2,2,,,,reconstruction_1hop_embed_expl,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_2/results_summary_reconstruction_1hop_embed_expl.json,1
,explainer,reconstruction_1hop_embed_expl,task_0,run_2,2,,,,reconstruction_1hop_embed_expl_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_2/results_summary_reconstruction_1hop_embed_expl_explainer.json,1
,explainer,reconstruction_1hop,task_0,run_2,2,,,,reconstruction_1hop_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_2/results_summary_reconstruction_1hop_explainer.json,1
,ground_truth,reconstruction_1hop_no_gnn,task_0,run_2,2,,,,reconstruction_1hop_no_gnn,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_2/results_summary_reconstruction_1hop_no_gnn.json,1
,explainer,reconstruction_1hop_no_gnn,task_0,run_2,2,,,,reconstruction_1hop_no_gnn_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_2/results_summary_reconstruction_1hop_no_gnn_explainer.json,1
,ground_truth,baseline_cosine,task_0,run_3,3,,,,baseline_cosine,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_3/results_summary_baseline_cosine.json,1
,explainer,baseline_cosine,task_0,run_3,3,,,,baseline_cosine_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_3/results_summary_baseline_cosine_explainer.json,1
,ground_truth,baseline_feature,task_0,run_3,3,,,,baseline_feature,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_3/results_summary_baseline_feature.json,1
,explainer,baseline_feature,task_0,run_3,3,,,,baseline_feature_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_3/results_summary_baseline_feature_explainer.json,1
,ground_truth,baseline_random,task_0,run_3,3,,,,baseline_random,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_3/results_summary_baseline_random.json,1
,explainer,baseline_random,task_0,run_3,3,,,,baseline_random_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_3/results_summary_baseline_random_explainer.json,1
,ground_truth,embedding_classification,task_0,run_3,3,,,,embedding_classification,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_3/results_summary_embedding_classification.json,4
,ground_truth,embedding_classification_explainer_subgraph,task_0,run_3,3,,,,embedding_classification_explainer_subgraph,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_3/results_summary_embedding_classification_explainer_subgraph.json,4
,ground_truth,raw_graph_reasoning,task_0,run_3,3,,,,raw_graph_reasoning,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_3/results_summary_raw_graph_reasoning.json,4
,ground_truth,reconstruction_1hop,task_0,run_3,3,,,,reconstruction_1hop,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_3/results_summary_reconstruction_1hop.json,1
,ground_truth,reconstruction_1hop_embed_expl,task_0,run_3,3,,,,reconstruction_1hop_embed_expl,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_3/results_summary_reconstruction_1hop_embed_expl.json,1
,explainer,reconstruction_1hop_embed_expl,task_0,run_3,3,,,,reconstruction_1hop_embed_expl_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_3/results_summary_reconstruction_1hop_embed_expl_explainer.json,1
,explainer,reconstruction_1hop,task_0,run_3,3,,,,reconstruction_1hop_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_3/results_summary_reconstruction_1hop_explainer.json,1
,ground_truth,reconstruction_1hop_no_gnn,task_0,run_3,3,,,,reconstruction_1hop_no_gnn,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_3/results_summary_reconstruction_1hop_no_gnn.json,1
,explainer,reconstruction_1hop_no_gnn,task_0,run_3,3,,,,reconstruction_1hop_no_gnn_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_0/run_3/results_summary_reconstruction_1hop_no_gnn_explainer.json,1
,ground_truth,baseline_cosine,task_1,run_1,1,,,,baseline_cosine,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_1/results_summary_baseline_cosine.json,1
,explainer,baseline_cosine,task_1,run_1,1,,,,baseline_cosine_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_1/results_summary_baseline_cosine_explainer.json,1
,ground_truth,baseline_feature,task_1,run_1,1,,,,baseline_feature,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_1/results_summary_baseline_feature.json,1
,explainer,baseline_feature,task_1,run_1,1,,,,baseline_feature_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_1/results_summary_baseline_feature_explainer.json,1
,ground_truth,baseline_random,task_1,run_1,1,,,,baseline_random,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_1/results_summary_baseline_random.json,1
,explainer,baseline_random,task_1,run_1,1,,,,baseline_random_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_1/results_summary_baseline_random_explainer.json,1
,ground_truth,embedding_classification,task_1,run_1,1,,,,embedding_classification,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_1/results_summary_embedding_classification.json,4
,ground_truth,embedding_classification_explainer_subgraph,task_1,run_1,1,,,,embedding_classification_explainer_subgraph,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_1/results_summary_embedding_classification_explainer_subgraph.json,4
,ground_truth,raw_graph_reasoning,task_1,run_1,1,,,,raw_graph_reasoning,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_1/results_summary_raw_graph_reasoning.json,4
,ground_truth,reconstruction_1hop,task_1,run_1,1,,,,reconstruction_1hop,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_1/results_summary_reconstruction_1hop.json,1
,ground_truth,reconstruction_1hop_embed_expl,task_1,run_1,1,,,,reconstruction_1hop_embed_expl,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_1/results_summary_reconstruction_1hop_embed_expl.json,1
,explainer,reconstruction_1hop_embed_expl,task_1,run_1,1,,,,reconstruction_1hop_embed_expl_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_1/results_summary_reconstruction_1hop_embed_expl_explainer.json,1
,explainer,reconstruction_1hop,task_1,run_1,1,,,,reconstruction_1hop_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_1/results_summary_reconstruction_1hop_explainer.json,1
,ground_truth,reconstruction_1hop_no_gnn,task_1,run_1,1,,,,reconstruction_1hop_no_gnn,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_1/results_summary_reconstruction_1hop_no_gnn.json,1
,explainer,reconstruction_1hop_no_gnn,task_1,run_1,1,,,,reconstruction_1hop_no_gnn_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_1/results_summary_reconstruction_1hop_no_gnn_explainer.json,1
,ground_truth,baseline_cosine,task_1,run_2,2,,,,baseline_cosine,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_2/results_summary_baseline_cosine.json,1
,explainer,baseline_cosine,task_1,run_2,2,,,,baseline_cosine_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_2/results_summary_baseline_cosine_explainer.json,1
,ground_truth,baseline_feature,task_1,run_2,2,,,,baseline_feature,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_2/results_summary_baseline_feature.json,1
,explainer,baseline_feature,task_1,run_2,2,,,,baseline_feature_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_2/results_summary_baseline_feature_explainer.json,1
,ground_truth,baseline_random,task_1,run_2,2,,,,baseline_random,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_2/results_summary_baseline_random.json,1
,explainer,baseline_random,task_1,run_2,2,,,,baseline_random_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_2/results_summary_baseline_random_explainer.json,1
,ground_truth,embedding_classification,task_1,run_2,2,,,,embedding_classification,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_2/results_summary_embedding_classification.json,4
,ground_truth,embedding_classification_explainer_subgraph,task_1,run_2,2,,,,embedding_classification_explainer_subgraph,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_2/results_summary_embedding_classification_explainer_subgraph.json,4
,ground_truth,raw_graph_reasoning,task_1,run_2,2,,,,raw_graph_reasoning,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_2/results_summary_raw_graph_reasoning.json,4
,ground_truth,reconstruction_1hop,task_1,run_2,2,,,,reconstruction_1hop,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_2/results_summary_reconstruction_1hop.json,1
,ground_truth,reconstruction_1hop_embed_expl,task_1,run_2,2,,,,reconstruction_1hop_embed_expl,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_2/results_summary_reconstruction_1hop_embed_expl.json,1
,explainer,reconstruction_1hop_embed_expl,task_1,run_2,2,,,,reconstruction_1hop_embed_expl_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_2/results_summary_reconstruction_1hop_embed_expl_explainer.json,1
,explainer,reconstruction_1hop,task_1,run_2,2,,,,reconstruction_1hop_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_2/results_summary_reconstruction_1hop_explainer.json,1
,ground_truth,reconstruction_1hop_no_gnn,task_1,run_2,2,,,,reconstruction_1hop_no_gnn,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_2/results_summary_reconstruction_1hop_no_gnn.json,1
,explainer,reconstruction_1hop_no_gnn,task_1,run_2,2,,,,reconstruction_1hop_no_gnn_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_2/results_summary_reconstruction_1hop_no_gnn_explainer.json,1
,ground_truth,baseline_cosine,task_1,run_3,3,,,,baseline_cosine,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_3/results_summary_baseline_cosine.json,1
,explainer,baseline_cosine,task_1,run_3,3,,,,baseline_cosine_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_3/results_summary_baseline_cosine_explainer.json,1
,ground_truth,baseline_feature,task_1,run_3,3,,,,baseline_feature,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_3/results_summary_baseline_feature.json,1
,explainer,baseline_feature,task_1,run_3,3,,,,baseline_feature_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_3/results_summary_baseline_feature_explainer.json,1
,ground_truth,baseline_random,task_1,run_3,3,,,,baseline_random,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_3/results_summary_baseline_random.json,1
,explainer,baseline_random,task_1,run_3,3,,,,baseline_random_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_3/results_summary_baseline_random_explainer.json,1
,ground_truth,embedding_classification,task_1,run_3,3,,,,embedding_classification,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_3/results_summary_embedding_classification.json,4
,ground_truth,embedding_classification_explainer_subgraph,task_1,run_3,3,,,,embedding_classification_explainer_subgraph,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_3/results_summary_embedding_classification_explainer_subgraph.json,4
,ground_truth,raw_graph_reasoning,task_1,run_3,3,,,,raw_graph_reasoning,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_3/results_summary_raw_graph_reasoning.json,4
,ground_truth,reconstruction_1hop,task_1,run_3,3,,,,reconstruction_1hop,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_3/results_summary_reconstruction_1hop.json,1
,ground_truth,reconstruction_1hop_embed_expl,task_1,run_3,3,,,,reconstruction_1hop_embed_expl,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_3/results_summary_reconstruction_1hop_embed_expl.json,1
,explainer,reconstruction_1hop_embed_expl,task_1,run_3,3,,,,reconstruction_1hop_embed_expl_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_3/results_summary_reconstruction_1hop_embed_expl_explainer.json,1
,explainer,reconstruction_1hop,task_1,run_3,3,,,,reconstruction_1hop_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_3/results_summary_reconstruction_1hop_explainer.json,1
,ground_truth,reconstruction_1hop_no_gnn,task_1,run_3,3,,,,reconstruction_1hop_no_gnn,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_3/results_summary_reconstruction_1hop_no_gnn.json,1
,explainer,reconstruction_1hop_no_gnn,task_1,run_3,3,,,,reconstruction_1hop_no_gnn_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_1/run_3/results_summary_reconstruction_1hop_no_gnn_explainer.json,1
,ground_truth,baseline_cosine,task_2,run_1,1,,,,baseline_cosine,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_1/results_summary_baseline_cosine.json,1
,explainer,baseline_cosine,task_2,run_1,1,,,,baseline_cosine_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_1/results_summary_baseline_cosine_explainer.json,1
,ground_truth,baseline_feature,task_2,run_1,1,,,,baseline_feature,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_1/results_summary_baseline_feature.json,1
,explainer,baseline_feature,task_2,run_1,1,,,,baseline_feature_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_1/results_summary_baseline_feature_explainer.json,1
,ground_truth,baseline_random,task_2,run_1,1,,,,baseline_random,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_1/results_summary_baseline_random.json,1
,explainer,baseline_random,task_2,run_1,1,,,,baseline_random_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_1/results_summary_baseline_random_explainer.json,1
,ground_truth,embedding_classification,task_2,run_1,1,,,,embedding_classification,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_1/results_summary_embedding_classification.json,4
,ground_truth,embedding_classification_explainer_subgraph,task_2,run_1,1,,,,embedding_classification_explainer_subgraph,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_1/results_summary_embedding_classification_explainer_subgraph.json,4
,ground_truth,raw_graph_reasoning,task_2,run_1,1,,,,raw_graph_reasoning,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_1/results_summary_raw_graph_reasoning.json,4
,ground_truth,reconstruction_1hop,task_2,run_1,1,,,,reconstruction_1hop,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_1/results_summary_reconstruction_1hop.json,1
,ground_truth,reconstruction_1hop_embed_expl,task_2,run_1,1,,,,reconstruction_1hop_embed_expl,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_1/results_summary_reconstruction_1hop_embed_expl.json,1
,explainer,reconstruction_1hop_embed_expl,task_2,run_1,1,,,,reconstruction_1hop_embed_expl_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_1/results_summary_reconstruction_1hop_embed_expl_explainer.json,1
,explainer,reconstruction_1hop,task_2,run_1,1,,,,reconstruction_1hop_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_1/results_summary_reconstruction_1hop_explainer.json,1
,ground_truth,reconstruction_1hop_no_gnn,task_2,run_1,1,,,,reconstruction_1hop_no_gnn,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_1/results_summary_reconstruction_1hop_no_gnn.json,1
,explainer,reconstruction_1hop_no_gnn,task_2,run_1,1,,,,reconstruction_1hop_no_gnn_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_1/results_summary_reconstruction_1hop_no_gnn_explainer.json,1
,ground_truth,baseline_cosine,task_2,run_2,2,,,,baseline_cosine,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_2/results_summary_baseline_cosine.json,1
,explainer,baseline_cosine,task_2,run_2,2,,,,baseline_cosine_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_2/results_summary_baseline_cosine_explainer.json,1
,ground_truth,baseline_feature,task_2,run_2,2,,,,baseline_feature,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_2/results_summary_baseline_feature.json,1
,explainer,baseline_feature,task_2,run_2,2,,,,baseline_feature_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_2/results_summary_baseline_feature_explainer.json,1
,ground_truth,baseline_random,task_2,run_2,2,,,,baseline_random,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_2/results_summary_baseline_random.json,1
,explainer,baseline_random,task_2,run_2,2,,,,baseline_random_explainer,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_2/results_summary_baseline_random_explainer.json,1
,ground_truth,embedding_classification,task_2,run_2,2,,,,embedding_classification,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_2/results_summary_embedding_classification.json,4
,ground_truth,embedding_classification_explainer_subgraph,task_2,run_2,2,,,,embedding_classification_explainer_subgraph,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_2/results_summary_embedding_classification_explainer_subgraph.json,4
,ground_truth,raw_graph_reasoning,task_2,run_2,2,,,,raw_graph_reasoning,/Users/thijnvanveen/Desktop/Scriptie/Code/Explanation-of-GNN-using-LLM/outputs/23417336/task_2/run_2/results_summary_raw_graph_reasoning.json,4
